2025-06-14 00:53:40,857 - INFO - Found cointegrated pair: METISUSDT-SSVUSDT, p-value=0.0000
2025-06-14 00:53:41,679 - INFO - Found cointegrated pair: METISUSDT-RPLUSDT, p-value=0.0489
2025-06-14 00:53:42,448 - INFO - Found cointegrated pair: METISUSDT-MOVRUSDT, p-value=0.0122
2025-06-14 00:53:42,843 - INFO - Found cointegrated pair: METISUSDT-NMRUSDT, p-value=0.0029
2025-06-14 00:53:43,218 - INFO - Found cointegrated pair: METISUSDT-ARUSDT, p-value=0.0120
2025-06-14 00:53:43,617 - INFO - Found cointegrated pair: METISUSDT-ALCXUSDT, p-value=0.0003
2025-06-14 00:53:45,967 - INFO - Found cointegrated pair: KSMUSDT-FARMUSDT, p-value=0.0000
2025-06-14 00:53:46,094 - INFO - Found cointegrated pair: KSMUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:53:48,628 - INFO - Found cointegrated pair: KSMUSDT-DASHUSDT, p-value=0.0000
2025-06-14 00:53:50,459 - INFO - Found cointegrated pair: KSMUSDT-ENSUSDT, p-value=0.0167
2025-06-14 00:53:52,974 - INFO - Found cointegrated pair: KSMUSDT-LINKUSDT, p-value=0.0049
2025-06-14 00:53:53,544 - INFO - Found cointegrated pair: KSMUSDT-ORDIUSDT, p-value=0.0171
2025-06-14 00:53:57,911 - INFO - Found cointegrated pair: KSMUSDT-ILVUSDT, p-value=0.0000
2025-06-14 00:54:00,383 - INFO - Found cointegrated pair: KSMUSDT-ETCUSDT, p-value=0.0000
2025-06-14 00:54:04,956 - INFO - Found cointegrated pair: KSMUSDT-ZENUSDT, p-value=0.0000
2025-06-14 00:54:08,490 - INFO - Found cointegrated pair: KSMUSDT-UNIUSDT, p-value=0.0002
2025-06-14 00:54:10,314 - INFO - Found cointegrated pair: KSMUSDT-MOVRUSDT, p-value=0.0045
2025-06-14 00:54:12,793 - INFO - Found cointegrated pair: KSMUSDT-NMRUSDT, p-value=0.0004
2025-06-14 00:54:15,016 - INFO - Found cointegrated pair: KSMUSDT-ARUSDT, p-value=0.0032
2025-06-14 00:54:16,876 - INFO - Found cointegrated pair: KSMUSDT-ALCXUSDT, p-value=0.0002
2025-06-14 00:54:17,139 - INFO - Found cointegrated pair: KSMUSDT-RENDERUSDT, p-value=0.0047
2025-06-14 00:54:19,273 - INFO - Found cointegrated pair: KSMUSDT-RAYUSDT, p-value=0.0360
2025-06-14 00:54:19,414 - INFO - Found cointegrated pair: FARMUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:54:21,531 - INFO - Found cointegrated pair: FARMUSDT-DASHUSDT, p-value=0.0000
2025-06-14 00:54:23,377 - INFO - Found cointegrated pair: FARMUSDT-ENSUSDT, p-value=0.0042
2025-06-14 00:54:25,507 - INFO - Found cointegrated pair: FARMUSDT-LINKUSDT, p-value=0.0138
2025-06-14 00:54:30,180 - INFO - Found cointegrated pair: FARMUSDT-ILVUSDT, p-value=0.0017
2025-06-14 00:54:32,210 - INFO - Found cointegrated pair: FARMUSDT-ETCUSDT, p-value=0.0000
2025-06-14 00:54:35,248 - INFO - Found cointegrated pair: FARMUSDT-ZENUSDT, p-value=0.0000
2025-06-14 00:54:38,424 - INFO - Found cointegrated pair: FARMUSDT-UNIUSDT, p-value=0.0004
2025-06-14 00:54:40,321 - INFO - Found cointegrated pair: FARMUSDT-MOVRUSDT, p-value=0.0000
2025-06-14 00:54:42,423 - INFO - Found cointegrated pair: FARMUSDT-NMRUSDT, p-value=0.0002
2025-06-14 00:54:44,509 - INFO - Found cointegrated pair: FARMUSDT-ARUSDT, p-value=0.0000
2025-06-14 00:54:46,424 - INFO - Found cointegrated pair: FARMUSDT-ALCXUSDT, p-value=0.0000
2025-06-14 00:54:46,689 - INFO - Found cointegrated pair: FARMUSDT-RENDERUSDT, p-value=0.0001
